"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R603","100kO","B","Resistor,_0603,_Yageo","103.3500","74.8000","0","Thick Film Resistor, ±1%, ±100ppm/?, -55?~+155?, 0603, 100kO, #RC0603FR-07100KL, JLC#C14675"
"R602","100kO","B","Resistor,_0603,_Yageo","106.5500","74.8000","180","Thick Film Resistor, ±1%, ±100ppm/?, -55?~+155?, 0603, 100kO, #RC0603FR-07100KL, JLC#C14675"
"R208","2kO","B","Resistor,_0603,_Yageo","131.5000","60.9500","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 2kO 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-072KL, JLC#C105576"
"R207","1kO","B","Resistor,_0603,_Yageo","130.3000","60.9500","270","Thick Film Resistor, ±1%, ±100ppm/?, -55?~+155?, 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-071KL, JLC#C22548"
"R206","6.2kO","B","Resistor,_0603,_Yageo","127.9000","60.9500","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 6.2kO 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-076K2L, JLC#C114631"
"R205","36kO","B","Resistor,_0603,_Yageo","129.1000","60.9500","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 36kO 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-0736KL, JLC#C114619"
"R204","2kO","B","Resistor,_0603,_Yageo","146.3250","51.7750","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 2kO 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-072KL, JLC#C105576"
"R203","7.5kO","B","Resistor,_0603,_Yageo","145.1250","51.7750","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 7.5kO 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-077K5L, JLC#C114634"
"R202","6.2kO","B","Resistor,_0603,_Yageo","142.7250","51.7750","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 6.2kO 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-076K2L, JLC#C114631"
"R201","36kO","B","Resistor,_0603,_Yageo","143.9250","51.7750","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 36kO 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-0736KL, JLC#C114619"
"R103","100kO","B","Resistor,_0603,_Yageo","152.3749","70.4000","0","Thick Film Resistor, ±1%, ±100ppm/?, -55?~+155?, 0603, 100kO, #RC0603FR-07100KL, JLC#C14675"
"R102","100kO","B","Resistor,_0603,_Yageo","152.3749","69.3000","0","Thick Film Resistor, ±1%, ±100ppm/?, -55?~+155?, 0603, 100kO, #RC0603FR-07100KL, JLC#C14675"
"R101","100kO","B","Resistor,_0603,_Yageo","152.3749","68.2000","0","Thick Film Resistor, ±1%, ±100ppm/?, -55?~+155?, 0603, 100kO, #RC0603FR-07100KL, JLC#C14675"
"L202","2.2uH","B","Inductor,_1616","125.6500","65.0000","90","2.2uH ±20% 7A 1616 Power Inductors ROHS, #XGL4030-222MEC, JLC#C6616463"
"L201","2.2uH","B","Inductor,_1616","140.4250","55.8250","90","2.2uH ±20% 7A 1616 Power Inductors ROHS, #XGL4030-222MEC, JLC#C6616463"
"J801","FPC-05F-22PH20","B","FFC_Connector","109.6895","96.3054","90","SMD,P=0.5mm,Surface Mount, Right Angle, #FPC-05F-22PH20, #C2856804"
"J102","533980271","T","Molex_PicoBlade,_Wire_To_Board_1x2,_533980271","153.0000","93.8000","90","1x2P 2P PicoBlade(MX 1.25) Tin 2 -40?~+105? 1A 1 1.25mm Phosphor Bronze Standing paste SMD,P=1.25mm Wire To Board Connector ROHS, #533980271, JLC#C122410"
"FB201","BLE18PS080SN1D","B","Ferrite_Bead,_0603","142.7754","63.3001","90","4mO 8.5O@100MHz 0603 Ferrite Beads ROHS, #BLE18PS080SN1D, JLC#C3764407"
"C604","100nF","B","Capacitor,_0402","110.0500","79.6000","180","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C603","4.7uF","B","Capacitor,_0603","109.7250","78.1754","180","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 4.7uF, SMD, 0603, #GRM188Z71A475KE15D, JLC#C913474"
"C602","100nF","B","Capacitor,_0402","108.3000","76.1000","270","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C601","100nF","B","Capacitor,_0402","108.3000","84.9750","270","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C216","470nF","B","Capacitor,_0402","129.3500","66.3250","0","16V 470nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #GRM155R71C474KE01D, JLC#C471404"
"C215","22uF","B","Capacitor,_0805","129.8500","69.2500","0","16V 22uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #CL21A226KOQNNNE, JLC#C296720"
"C214","22uF","B","Capacitor,_0805","129.8500","67.5750","0","16V 22uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #CL21A226KOQNNNE, JLC#C296720"
"C213","470nF","B","Capacitor,_0402","132.5500","61.8250","270","16V 470nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #GRM155R71C474KE01D, JLC#C471404"
"C212","100nF","B","Capacitor,_0402","132.2000","64.3000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C211","10uF","B","Capacitor,_0603","133.2504","64.6500","90","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"C210","10uF","B","Capacitor,_0603","134.4504","64.6500","90","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"C209","470nF","B","Capacitor,_0402","144.1250","64.6500","0","16V 470nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #GRM155R71C474KE01D, JLC#C471404"
"C207","22uF","B","Capacitor,_0805","144.6500","65.9251","0","16V 22uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #CL21A226KOQNNNE, JLC#C296720"
"C206","22uF","B","Capacitor,_0805","144.6250","59.1500","0","16V 22uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #CL21A226KOQNNNE, JLC#C296720"
"C205","22uF","B","Capacitor,_0805","144.6250","57.5000","0","16V 22uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #CL21A226KOQNNNE, JLC#C296720"
"C204","470nF","B","Capacitor,_0402","147.3750","51.4250","270","16V 470nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #GRM155R71C474KE01D, JLC#C471404"
"C203","100nF","B","Capacitor,_0402","146.9750","55.1250","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C202","10uF","B","Capacitor,_0603","147.9254","55.4750","90","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"C201","10uF","B","Capacitor,_0603","149.0254","55.4750","90","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"C104","10uF","B","Capacitor,_0603","152.3750","71.7254","180","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"C103","100nF","B","Capacitor,_0402","153.7250","88.0000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C208","22uF","B","Capacitor,_0805","144.6500","67.5751","0","16V 22uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, #CL21A226KOQNNNE, JLC#C296720"
"C102","10uF","B","Capacitor,_0603","154.7754","87.6500","90","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"IMX_","IMX385 Digital Power 1.2V","T","IMX385LQR","124.0000","77.5000","0",""
"J101","ZX-PZ2.54-2-5PZZ","B","Pin_Header,_DIP_2x5,_2.54mm","123.9654","53.1200","180","Gold 1kV 3A Direct Insert Policy 2.5mm 10P 6mm -40?~+105? 3mm 2.54mm Brass Double Row Black 2.54mm 2x5P Plugin,P=2.54mm Pin Headers ROHS. #ZX-PZ2.54-2-5PZZ, #C7501276"
"C704","1uF","B","Capacitor,_0402","128.0000","78.5000","270","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 1uF, SMD, 0402, #GRM155Z71A105KE01D, JLC#C528974"
"C703","220nF","B","Capacitor,_0402","128.0000","74.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 220nF, SMD, 0402, #CL05B224KO5NNNC, JLC#C16772"
"C702","1uF","B","Capacitor,_0402","128.0000","80.5000","270","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 1uF, SMD, 0402, #GRM155Z71A105KE01D, JLC#C528974"
"C701","1uF","B","Capacitor,_0402","129.5000","79.0000","0","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 1uF, SMD, 0402, #GRM155Z71A105KE01D, JLC#C528974"
"C510","10uF","B","Capacitor,_0603","129.9754","81.5500","90","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"C509","100nF","B","Capacitor,_0402","129.5000","80.0000","180","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C508","100nF","B","Capacitor,_0402","129.5000","74.0000","180","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C507","10uF","B","Capacitor,_0603","129.9746","72.4750","270","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"C506","100nF","B","Capacitor,_0402","129.5000","75.0000","0","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C505","10uF","B","Capacitor,_0603","131.0754","74.2500","90","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"C504","100nF","B","Capacitor,_0402","129.5000","76.0000","180","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C503","10uF","B","Capacitor,_0603","131.0754","76.7500","90","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 10uF, SMD, 0603, #GRM188Z71A106KA73D, JLC#C2959727"
"C502","100nF","B","Capacitor,_0402","129.5000","77.0000","180","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C501","1uF","B","Capacitor,_0402","129.5000","78.0000","180","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 1uF, SMD, 0402, #GRM155Z71A105KE01D, JLC#C528974"
"C408","4.7uF","B","Capacitor,_0402","120.0000","76.5000","270","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C407","10nF","B","Capacitor,_0402","121.0000","76.5000","270","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 10nF, SMD, 0402, #CL05B103KO5NNNC, JLC#C318577"
"C406","4.7uF","B","Capacitor,_0402","123.0000","76.5000","90","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C405","10nF","B","Capacitor,_0402","122.0000","76.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 10nF, SMD, 0402, #CL05B103KO5NNNC, JLC#C318577"
"C404","4.7uF","B","Capacitor,_0402","120.0000","78.5000","90","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C403","10nF","B","Capacitor,_0402","121.0000","78.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 10nF, SMD, 0402, #CL05B103KO5NNNC, JLC#C318577"
"C402","4.7uF","B","Capacitor,_0402","123.0000","78.5000","270","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C401","10nF","B","Capacitor,_0402","122.0000","78.5000","270","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 10nF, SMD, 0402, #CL05B103KO5NNNC, JLC#C318577"
"C326","4.7uF","B","Capacitor,_0402","123.0000","74.5000","90","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C325","100nF","B","Capacitor,_0402","124.0000","74.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C324","4.7uF","B","Capacitor,_0402","125.0000","76.5250","90","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C323","100nF","B","Capacitor,_0402","125.0000","74.5000","270","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C322","4.7uF","B","Capacitor,_0402","127.0000","74.5000","90","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C321","100nF","B","Capacitor,_0402","126.0000","74.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C320","4.7uF","B","Capacitor,_0402","124.0000","80.5000","90","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C319","100nF","B","Capacitor,_0402","125.0000","80.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C318","4.7uF","B","Capacitor,_0402","126.0000","78.5000","90","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C317","100nF","B","Capacitor,_0402","126.0000","80.5000","270","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C316","4.7uF","B","Capacitor,_0402","127.0000","78.5000","270","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C315","100nF","B","Capacitor,_0402","127.0000","80.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C314","100nF","B","Capacitor,_0402","121.0000","80.5000","270","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C313","1uF","B","Capacitor,_0402","120.0000","80.5000","270","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 1uF, SMD, 0402, #GRM155Z71A105KE01D, JLC#C528974"
"C312","100nF","B","Capacitor,_0402","122.0000","80.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C311","1uF","B","Capacitor,_0402","123.0000","80.5000","90","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 1uF, SMD, 0402, #GRM155Z71A105KE01D, JLC#C528974"
"C310","100nF","B","Capacitor,_0402","121.0000","72.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C309","4.7uF","B","Capacitor,_0402","122.0000","72.5000","90","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C308","100nF","B","Capacitor,_0402","123.0000","72.5000","270","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C307","4.7uF","B","Capacitor,_0402","124.0000","72.5000","270","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C306","100nF","B","Capacitor,_0402","125.0000","72.5000","90","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C305","4.7uF","B","Capacitor,_0402","126.0000","72.5000","90","Ceramic Capacitor, 10V, 10% +/- Tol, X5R, 4.7uF, SMD, 0402, #CL05A475KP5NRNC, JLC#C368809"
"C304","100nF","B","Capacitor,_0402","120.0000","72.5000","270","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C303","1uF","B","Capacitor,_0402","119.0000","72.5000","270","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 1uF, SMD, 0402, #GRM155Z71A105KE01D, JLC#C528974"
"C302","100nF","B","Capacitor,_0402","118.5000","81.0000","0","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"C301","1uF","B","Capacitor,_0402","118.5000","80.0000","0","Ceramic Capacitor, 10V, 10% +/- Tol, X7R, 1uF, SMD, 0402, #GRM155Z71A105KE01D, JLC#C528974"
